产品,平台,标题,类别,保湿,保湿认可度,补水,补水认可度,美白,美白认可度,油皮,油皮认可度,吸收,吸收认可度,水润,水润认可度,改善,改善认可度,过敏,过敏认可度,正品,正品认可度,滋润,滋润认可度,痘痘,痘痘认可度,敏感肌,敏感肌认可度,温和,温和认可度,性价比,性价比认可度,提亮,提亮认可度,清爽,清爽认可度,味道,味道认可度,质量,质量认可度,细腻,细腻认可度,毛孔,毛孔认可度,干皮,干皮认可度,修复,修复认可度,淡斑,淡斑认可度,质地,质地认可度,品质,品质认可度,气味,气味认可度,黑头,黑头认可度,不油,不油认可度,不刺激,不刺激认可度,好闻,好闻认可度,淡化,淡化认可度,不油腻,不油腻认可度,祛痘,祛痘认可度,闭口,闭口认可度,肤感,肤感认可度,清洁,清洁认可度,舒缓,舒缓认可度,控油,控油认可度,精致,精致认可度,紧致,紧致认可度,眼睛,眼睛认可度,亲肤,亲肤认可度,收缩毛孔,收缩毛孔认可度,精美,精美认可度,烟酰胺,烟酰胺认可度,玻尿酸,玻尿酸认可度,手感,手感认可度,祛斑,祛斑认可度,滋养,滋养认可度,细纹,细纹认可度,抗初老,抗初老认可度,去黑头,去黑头认可度,轻盈,轻盈认可度,抗皱,抗皱认可度,抗衰老,抗衰老认可度,抗氧化,抗氧化认可度,黑眼圈,黑眼圈认可度,眼部,眼部认可度,美肤,美肤认可度,视黄醇,视黄醇认可度,淡纹,淡纹认可度,抗皱纹,抗皱纹认可度,商品链接
面膜,tmall,仁和药业补水保湿美白淡斑祛痘淡化痘印面膜,化妆品净含量:20片,889.0,85.5%,1180.0,86.3%,924.0,88.9%,27.0,88.9%,646.0,88.5%,673.0,90.6%,412.0,88.3%,139.0,72.7%,71.0,91.5%,349.0,90.0%,439.0,92.9%,118.0,86.4%,445.0,91.9%,134.0,91.0%,500.0,90.2%,401.0,89.8%,151.0,84.1%,120.0,84.2%,463.0,91.4%,465.0,90.3%,53.0,90.6%,218.0,93.1%,539.0,90.4%,122.0,91.8%,14.0,78.6%,8.0,75.0%,81.0,88.9%,45.0,82.2%,79.0,91.1%,114.0,90.4%,333.0,89.2%,45.0,82.2%,209.0,91.9%,53.0,90.6%,32.0,93.8%,11.0,81.8%,105.0,92.4%,162.0,92.0%,10.0,90.0%,101.0,93.1%,21.0,76.2%,112.0,90.2%,88.0,93.2%,9.0,88.9%,56.0,89.3%,0.0,0.0%,35.0,88.6%,73.0,65.8%,28.0,85.7%,43.0,88.4%,0.0,0.0%,4.0,75.0%,31.0,90.3%,8.0,75.0%,8.0,75.0%,8.0,87.5%,6.0,83.3%,0.0,0.0%,2.0,50.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=592679450822&ali_refid=a3_430583_1006:1188910141:N:c9cYmKMxQDoPQG687fsq4A%3D%3D:233111193446d9c8488b6a61d915a6be&ali_trackid=1_233111193446d9c8488b6a61d915a6be
面膜,tmall,日本BEAUCLAIR雪美清 酒粕面膜涂抹式清洁补水保湿去角质提亮肤色,化妆品净含量:170g,0.0,0.0%,1.0,0.0%,3.0,66.7%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,2.0,50.0%,2.0,50.0%,2.0,50.0%,0.0,0.0%,1.0,0.0%,2.0,50.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,3.0,66.7%,1.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,3.0,66.7%,0.0,0.0%,2.0,50.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=620633383433&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6#detail
面膜,tmall,【618加购】OLAY抗糖小白瓶面膜水感美白提亮肤色烟酰胺补水面膜,化妆品净含量:15片,73.0,64.4%,61.0,49.2%,155.0,69.7%,13.0,61.5%,86.0,59.3%,11.0,63.6%,31.0,61.3%,55.0,36.4%,20.0,65.0%,22.0,77.3%,9.0,66.7%,20.0,65.0%,8.0,62.5%,17.0,70.6%,38.0,55.3%,8.0,50.0%,13.0,53.8%,31.0,64.5%,7.0,71.4%,4.0,75.0%,12.0,50.0%,2.0,50.0%,18.0,55.6%,15.0,73.3%,9.0,55.6%,1.0,0.0%,0.0,0.0%,2.0,50.0%,5.0,80.0%,2.0,50.0%,2.0,50.0%,1.0,0.0%,1.0,0.0%,3.0,33.3%,8.0,75.0%,2.0,50.0%,0.0,0.0%,1.0,0.0%,4.0,75.0%,4.0,50.0%,21.0,33.3%,1.0,0.0%,0.0,0.0%,2.0,50.0%,10.0,50.0%,0.0,0.0%,1.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,2.0,50.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=539379880103&ns=1&abbucket=6
面膜,tmall,【年度新品】HFP莱姆果酸炮弹清洁面膜 去黑头刷酸清洁泥膜男女,化妆品净含量:55g,12.0,58.3%,12.0,58.3%,4.0,50.0%,8.0,75.0%,2.0,50.0%,6.0,50.0%,14.0,50.0%,40.0,40.0%,12.0,75.0%,3.0,66.7%,24.0,62.5%,25.0,52.0%,46.0,52.2%,14.0,71.4%,1.0,0.0%,17.0,41.2%,26.0,53.8%,17.0,76.5%,36.0,77.8%,54.0,61.1%,13.0,46.2%,0.0,0.0%,0.0,0.0%,31.0,71.0%,51.0,70.6%,37.0,54.1%,153.0,51.6%,8.0,62.5%,26.0,53.8%,7.0,57.1%,1.0,0.0%,6.0,66.7%,1.0,0.0%,11.0,54.5%,9.0,66.7%,140.0,50.0%,3.0,66.7%,3.0,66.7%,5.0,60.0%,1.0,0.0%,2.0,50.0%,0.0,0.0%,7.0,57.1%,3.0,66.7%,0.0,0.0%,0.0,0.0%,10.0,70.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,34.0,52.9%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=639013372397&ns=1&abbucket=6
面膜,tmall,玉泽积雪草修护干面膜 玻尿酸补水保湿修护肌肤屏障男女,化妆品净含量:6片,98.0,65.3%,81.0,65.4%,7.0,85.7%,3.0,33.3%,64.0,67.2%,7.0,71.4%,46.0,67.4%,139.0,41.7%,6.0,83.3%,24.0,66.7%,85.0,87.1%,99.0,71.7%,34.0,67.6%,16.0,75.0%,3.0,33.3%,9.0,55.6%,11.0,72.7%,22.0,72.7%,7.0,57.1%,4.0,50.0%,21.0,57.1%,79.0,72.2%,0.0,0.0%,5.0,60.0%,2.0,50.0%,6.0,33.3%,1.0,0.0%,7.0,71.4%,19.0,73.7%,1.0,0.0%,0.0,0.0%,7.0,71.4%,6.0,83.3%,8.0,50.0%,3.0,33.3%,3.0,33.3%,25.0,80.0%,0.0,0.0%,1.0,0.0%,1.0,0.0%,5.0,20.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,6.0,33.3%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=577450003176&ns=1&abbucket=6
面膜,tmall,Dr.Alva瑷尔博士玻尿酸补水保湿积雪草熬夜面膜舒缓修护男女正品,化妆品净含量:10片,216.0,71.3%,389.0,63.5%,6.0,66.7%,53.0,71.7%,128.0,75.0%,34.0,76.5%,91.0,72.5%,86.0,48.8%,8.0,75.0%,25.0,72.0%,54.0,88.9%,103.0,75.7%,44.0,75.0%,73.0,87.7%,23.0,65.2%,47.0,72.3%,44.0,61.4%,18.0,83.3%,9.0,66.7%,16.0,75.0%,41.0,63.4%,55.0,81.8%,0.0,0.0%,6.0,66.7%,4.0,75.0%,3.0,33.3%,1.0,0.0%,14.0,57.1%,26.0,80.8%,8.0,75.0%,0.0,0.0%,11.0,54.5%,4.0,75.0%,5.0,80.0%,23.0,73.9%,5.0,60.0%,34.0,79.4%,3.0,66.7%,15.0,86.7%,1.0,0.0%,3.0,33.3%,3.0,66.7%,3.0,66.7%,5.0,80.0%,0.0,0.0%,7.0,57.1%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=605694503214&ns=1&abbucket=6
面膜,tmall,韩束水库面膜女玻尿酸补水保湿舒缓30片清洁收缩毛孔急救修复提亮,化妆品净含量:30片,164.0,68.3%,572.0,61.2%,5.0,80.0%,15.0,66.7%,101.0,69.3%,38.0,65.8%,39.0,69.2%,47.0,44.7%,56.0,64.3%,17.0,76.5%,5.0,60.0%,25.0,68.0%,3.0,66.7%,63.0,82.5%,5.0,80.0%,13.0,53.8%,26.0,34.6%,31.0,67.7%,1.0,0.0%,3.0,66.7%,24.0,50.0%,3.0,66.7%,0.0,0.0%,6.0,50.0%,5.0,60.0%,1.0,0.0%,0.0,0.0%,8.0,50.0%,7.0,57.1%,1.0,0.0%,0.0,0.0%,7.0,57.1%,0.0,0.0%,0.0,0.0%,1.0,0.0%,1.0,0.0%,4.0,75.0%,0.0,0.0%,1.0,0.0%,3.0,66.7%,4.0,50.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,4.0,75.0%,3.0,66.7%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=596258976797&ns=1&abbucket=6
面膜,taobao,韩国JM面膜女补水保湿男深水炸水光蜂蜜珍珠急救燕窝水母新款正品,颜色分类:❤新款水母面膜10片/盒[韩国原装假一罚十],14.0,64.3%,86.0,54.7%,0.0,0.0%,6.0,50.0%,4.0,50.0%,10.0,70.0%,2.0,50.0%,10.0,20.0%,66.0,63.6%,6.0,50.0%,2.0,50.0%,4.0,50.0%,0.0,0.0%,6.0,66.7%,0.0,0.0%,0.0,0.0%,14.0,57.1%,10.0,80.0%,0.0,0.0%,0.0,0.0%,2.0,50.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,4.0,75.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,4.0,50.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,4.0,25.0%,0.0,0.0%,0.0,0.0%,2.0,50.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://item.taobao.com/item.htm?id=558215946399&ns=1&abbucket=6#detail
面膜,tmall,OLAY 抛光面膜水感光曜沁润烟酰胺补水保湿提亮肤色涂抹面膜正品,化妆品净含量:100g,7.0,57.1%,7.0,42.9%,2.0,50.0%,0.0,0.0%,1.0,0.0%,9.0,44.4%,9.0,44.4%,3.0,33.3%,0.0,0.0%,1.0,0.0%,0.0,0.0%,1.0,0.0%,4.0,50.0%,1.0,0.0%,12.0,50.0%,1.0,0.0%,5.0,40.0%,1.0,0.0%,11.0,63.6%,4.0,25.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,6.0,66.7%,6.0,66.7%,4.0,50.0%,0.0,0.0%,1.0,0.0%,3.0,33.3%,1.0,0.0%,1.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,3.0,66.7%,7.0,57.1%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=640913131425&ns=1&abbucket=6
面膜,tmall,Dr.Alva瑷尔博士熬夜绷带面膜 补水保湿紧致 舒缓修护男女正品,化妆品净含量:5片,11.0,63.6%,10.0,50.0%,1.0,0.0%,2.0,50.0%,7.0,71.4%,2.0,50.0%,3.0,66.7%,4.0,50.0%,0.0,0.0%,4.0,75.0%,1.0,0.0%,3.0,33.3%,1.0,0.0%,5.0,80.0%,5.0,60.0%,2.0,50.0%,2.0,50.0%,3.0,66.7%,1.0,0.0%,0.0,0.0%,2.0,50.0%,2.0,50.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,3.0,66.7%,0.0,0.0%,0.0,0.0%,0.0,0.0%,6.0,83.3%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=637521648898&ns=1&abbucket=6
面膜,tmall,MEDIHEAL/美迪惠尔韩国可莱丝NMF水库面膜10片补水保湿男女面膜,化妆品净含量:10片,101.0,59.4%,273.0,61.2%,1.0,0.0%,5.0,60.0%,48.0,70.8%,15.0,66.7%,23.0,78.3%,31.0,38.7%,111.0,71.2%,8.0,62.5%,4.0,75.0%,16.0,68.8%,4.0,75.0%,26.0,84.6%,2.0,50.0%,5.0,80.0%,18.0,33.3%,66.0,74.2%,3.0,66.7%,1.0,0.0%,19.0,73.7%,2.0,50.0%,0.0,0.0%,6.0,50.0%,14.0,85.7%,1.0,0.0%,0.0,0.0%,0.0,0.0%,4.0,75.0%,4.0,25.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,2.0,50.0%,0.0,0.0%,1.0,0.0%,4.0,75.0%,0.0,0.0%,4.0,50.0%,0.0,0.0%,0.0,0.0%,4.0,50.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=599140277992&ns=1&abbucket=6
面膜,tmall,韩国JMSOLUTION肌司研水滋养水盈补水保湿面膜JM急救面膜*3套组,,29.0,72.4%,87.0,64.4%,0.0,0.0%,2.0,50.0%,6.0,66.7%,5.0,60.0%,4.0,75.0%,3.0,66.7%,30.0,70.0%,4.0,50.0%,1.0,0.0%,2.0,50.0%,1.0,0.0%,4.0,75.0%,0.0,0.0%,3.0,66.7%,4.0,50.0%,16.0,75.0%,0.0,0.0%,0.0,0.0%,2.0,50.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,5.0,80.0%,0.0,0.0%,0.0,0.0%,2.0,50.0%,0.0,0.0%,2.0,50.0%,0.0,0.0%,2.0,50.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,3.0,33.3%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,3.0,66.7%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=625738169382&ns=1&abbucket=6
面膜,tmall,【520礼物】欧莱雅安瓶面膜升级版玻尿酸精华补水保湿亮肤15片,化妆品净含量:25片,226.0,70.4%,597.0,63.7%,2.0,50.0%,15.0,66.7%,138.0,71.7%,73.0,68.5%,82.0,74.4%,27.0,59.3%,11.0,81.8%,56.0,71.4%,12.0,66.7%,39.0,79.5%,16.0,75.0%,40.0,82.5%,5.0,80.0%,12.0,58.3%,9.0,66.7%,21.0,71.4%,12.0,75.0%,4.0,75.0%,63.0,61.9%,4.0,75.0%,0.0,0.0%,5.0,60.0%,13.0,84.6%,0.0,0.0%,0.0,0.0%,9.0,66.7%,10.0,70.0%,2.0,50.0%,0.0,0.0%,9.0,66.7%,0.0,0.0%,1.0,0.0%,10.0,70.0%,1.0,0.0%,2.0,50.0%,0.0,0.0%,1.0,0.0%,2.0,50.0%,6.0,33.3%,2.0,50.0%,1.0,0.0%,2.0,50.0%,0.0,0.0%,16.0,62.5%,1.0,0.0%,0.0,0.0%,2.0,50.0%,4.0,75.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=576644195365&ns=1&abbucket=6
面膜,tmall,自然堂喜马拉雅面膜20片补水保湿提亮肌肤收缩毛孔面膜学生女正品,化妆品净含量:25g/ml,161.0,70.2%,547.0,64.5%,0.0,0.0%,14.0,71.4%,76.0,82.9%,19.0,78.9%,52.0,84.6%,40.0,50.0%,68.0,77.9%,9.0,66.7%,7.0,85.7%,19.0,63.2%,13.0,76.9%,71.0,85.9%,1.0,0.0%,17.0,47.1%,22.0,68.2%,59.0,74.6%,2.0,50.0%,4.0,50.0%,21.0,61.9%,1.0,0.0%,0.0,0.0%,1.0,0.0%,9.0,88.9%,5.0,80.0%,0.0,0.0%,13.0,53.8%,14.0,64.3%,10.0,80.0%,0.0,0.0%,8.0,50.0%,0.0,0.0%,2.0,50.0%,4.0,50.0%,2.0,50.0%,4.0,75.0%,0.0,0.0%,6.0,50.0%,2.0,50.0%,8.0,37.5%,1.0,0.0%,0.0,0.0%,8.0,87.5%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=556732726926&ns=1&abbucket=6
