产品,平台,标题,类别,保湿,保湿认可度,补水,补水认可度,美白,美白认可度,油皮,油皮认可度,吸收,吸收认可度,水润,水润认可度,改善,改善认可度,过敏,过敏认可度,正品,正品认可度,滋润,滋润认可度,痘痘,痘痘认可度,敏感肌,敏感肌认可度,温和,温和认可度,性价比,性价比认可度,提亮,提亮认可度,清爽,清爽认可度,味道,味道认可度,质量,质量认可度,细腻,细腻认可度,毛孔,毛孔认可度,干皮,干皮认可度,修复,修复认可度,淡斑,淡斑认可度,质地,质地认可度,品质,品质认可度,气味,气味认可度,黑头,黑头认可度,不油,不油认可度,不刺激,不刺激认可度,好闻,好闻认可度,淡化,淡化认可度,不油腻,不油腻认可度,祛痘,祛痘认可度,闭口,闭口认可度,肤感,肤感认可度,清洁,清洁认可度,舒缓,舒缓认可度,控油,控油认可度,精致,精致认可度,紧致,紧致认可度,眼睛,眼睛认可度,亲肤,亲肤认可度,收缩毛孔,收缩毛孔认可度,精美,精美认可度,烟酰胺,烟酰胺认可度,玻尿酸,玻尿酸认可度,手感,手感认可度,祛斑,祛斑认可度,滋养,滋养认可度,细纹,细纹认可度,抗初老,抗初老认可度,去黑头,去黑头认可度,轻盈,轻盈认可度,抗皱,抗皱认可度,抗衰老,抗衰老认可度,抗氧化,抗氧化认可度,黑眼圈,黑眼圈认可度,眼部,眼部认可度,美肤,美肤认可度,视黄醇,视黄醇认可度,淡纹,淡纹认可度,抗皱纹,抗皱纹认可度,商品链接
面膜,tmall,HFP玻尿酸密集补水面膜 修护敏感肌肤保湿滋润SPA面膜男女,化妆品净含量:5片,87.0,67.8%,328.0,62.5%,5.0,80.0%,18.0,72.2%,94.0,64.9%,31.0,64.5%,19.0,68.4%,43.0,46.5%,4.0,75.0%,39.0,76.9%,27.0,88.9%,36.0,66.7%,16.0,62.5%,24.0,79.2%,2.0,50.0%,20.0,75.0%,19.0,73.7%,35.0,68.6%,16.0,81.2%,15.0,60.0%,9.0,55.6%,10.0,40.0%,0.0,0.0%,5.0,60.0%,5.0,80.0%,0.0,0.0%,8.0,75.0%,16.0,62.5%,9.0,66.7%,8.0,62.5%,0.0,0.0%,16.0,62.5%,9.0,77.8%,2.0,50.0%,1.0,0.0%,4.0,75.0%,3.0,66.7%,1.0,0.0%,3.0,66.7%,2.0,50.0%,10.0,40.0%,4.0,75.0%,5.0,40.0%,3.0,66.7%,5.0,80.0%,24.0,75.0%,2.0,50.0%,1.0,0.0%,1.0,0.0%,1.0,0.0%,0.0,0.0%,6.0,83.3%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,2.0,50.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=537458721926&ns=1&abbucket=6
面膜,tmall,Bb LABORATORIES/苾莱宝日本BbLABORATORIES复活草补水面膜清洁,化妆品净含量:175g/ml,115.0,66.1%,375.0,59.7%,5.0,40.0%,23.0,47.8%,106.0,59.4%,29.0,62.1%,5.0,60.0%,50.0,26.0%,134.0,66.4%,31.0,71.0%,14.0,71.4%,30.0,56.7%,8.0,50.0%,11.0,81.8%,3.0,66.7%,10.0,60.0%,69.0,52.2%,21.0,71.4%,9.0,44.4%,11.0,54.5%,56.0,51.8%,4.0,50.0%,0.0,0.0%,18.0,77.8%,46.0,71.7%,50.0,60.0%,1.0,0.0%,8.0,37.5%,5.0,40.0%,32.0,68.8%,0.0,0.0%,6.0,33.3%,1.0,0.0%,6.0,33.3%,5.0,40.0%,5.0,40.0%,0.0,0.0%,0.0,0.0%,4.0,75.0%,1.0,0.0%,3.0,33.3%,0.0,0.0%,1.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=560971259764&ns=1&abbucket=6
面膜,tmall,Dermalogica/德美乐嘉水光肌多维面膜75ml去黄急救熬夜涂抹面膜,化妆品净含量:75ml,20.0,55.0%,48.0,58.3%,25.0,56.0%,3.0,33.3%,14.0,64.3%,12.0,58.3%,17.0,41.2%,46.0,28.3%,24.0,62.5%,21.0,76.2%,27.0,85.2%,32.0,59.4%,8.0,62.5%,14.0,78.6%,127.0,59.8%,0.0,0.0%,67.0,50.7%,9.0,66.7%,11.0,72.7%,14.0,71.4%,21.0,52.4%,18.0,61.1%,1.0,0.0%,11.0,81.8%,53.0,56.6%,49.0,51.0%,0.0,0.0%,5.0,40.0%,6.0,66.7%,23.0,47.8%,0.0,0.0%,4.0,25.0%,2.0,50.0%,4.0,50.0%,19.0,68.4%,5.0,80.0%,1.0,0.0%,0.0,0.0%,3.0,66.7%,5.0,40.0%,6.0,33.3%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,4.0,75.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,3.0,33.3%,1.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=546180556214&ns=1&abbucket=6
面膜,tmall,润百颜润养奶皮面膜377精粹提亮肤色玻尿酸补水弹嫩保湿牛奶肌女,化妆品净含量:5片,105.0,64.8%,70.0,61.4%,69.0,73.9%,13.0,61.5%,93.0,68.8%,21.0,71.4%,36.0,63.9%,43.0,34.9%,4.0,75.0%,56.0,62.5%,11.0,72.7%,22.0,63.6%,10.0,70.0%,20.0,80.0%,41.0,63.4%,7.0,57.1%,18.0,44.4%,32.0,78.1%,12.0,83.3%,2.0,50.0%,22.0,63.6%,1.0,0.0%,1.0,0.0%,34.0,73.5%,6.0,66.7%,0.0,0.0%,0.0,0.0%,5.0,60.0%,6.0,83.3%,0.0,0.0%,0.0,0.0%,5.0,60.0%,0.0,0.0%,3.0,33.3%,29.0,75.9%,0.0,0.0%,0.0,0.0%,0.0,0.0%,5.0,80.0%,16.0,75.0%,1.0,0.0%,4.0,75.0%,0.0,0.0%,2.0,50.0%,3.0,33.3%,41.0,61.0%,5.0,60.0%,2.0,50.0%,3.0,66.7%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,2.0,50.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=622935172595&ns=1&abbucket=6
面膜,tmall,膜法世家逆时空黑面膜10片抗初老补水保湿二裂酵母紧致淡纹提亮女,化妆品净含量:10片,199.0,79.9%,236.0,72.5%,23.0,87.0%,26.0,88.5%,220.0,78.6%,63.0,84.1%,108.0,84.3%,64.0,56.2%,21.0,76.2%,38.0,68.4%,38.0,86.8%,40.0,77.5%,29.0,82.8%,42.0,85.7%,30.0,80.0%,42.0,76.2%,26.0,76.9%,29.0,82.8%,36.0,69.4%,15.0,80.0%,28.0,67.9%,15.0,86.7%,1.0,0.0%,16.0,87.5%,8.0,75.0%,5.0,60.0%,0.0,0.0%,34.0,64.7%,25.0,80.0%,14.0,85.7%,7.0,85.7%,29.0,62.1%,15.0,86.7%,5.0,40.0%,24.0,75.0%,10.0,80.0%,2.0,50.0%,4.0,75.0%,22.0,90.9%,30.0,66.7%,8.0,62.5%,4.0,75.0%,4.0,75.0%,5.0,80.0%,16.0,87.5%,0.0,0.0%,6.0,83.3%,0.0,0.0%,8.0,87.5%,23.0,69.6%,71.0,83.1%,0.0,0.0%,0.0,0.0%,11.0,72.7%,11.0,63.6%,1.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,https://detail.tmall.com/item.htm?id=626106598187&ns=1&abbucket=6
面膜,tmall,日本进口Kracie肌美精进口3D深层补水提亮保湿面膜4片/盒*3盒正品,组合套餐:(3D橙色—紧致  弹润紧致)*3,160.0,64.4%,122.0,63.9%,54.0,75.9%,10.0,60.0%,64.0,71.9%,5.0,40.0%,30.0,56.7%,59.0,35.6%,110.0,72.7%,22.0,77.3%,3.0,66.7%,15.0,66.7%,3.0,66.7%,18.0,88.9%,2.0,50.0%,4.0,25.0%,13.0,30.8%,62.0,79.0%,5.0,60.0%,2.0,50.0%,15.0,73.3%,0.0,0.0%,0.0,0.0%,3.0,66.7%,10.0,80.0%,0.0,0.0%,1.0,0.0%,2.0,50.0%,2.0,50.0%,3.0,66.7%,0.0,0.0%,2.0,50.0%,0.0,0.0%,3.0,66.7%,3.0,66.7%,0.0,0.0%,0.0,0.0%,0.0,0.0%,2.0,50.0%,2.0,50.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,4.0,75.0%,0.0,0.0%,0.0,0.0%,2.0,50.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=577001655903&ns=1&abbucket=6
面膜,tmall,博乐达水杨酸清洁去痘去黑头闭口粉刺淡化痘印涂抹式刷酸面膜女男,化妆品净含量:35g,65.0,56.9%,41.0,61.0%,3.0,66.7%,63.0,63.5%,61.0,73.8%,2.0,50.0%,184.0,65.2%,43.0,34.9%,13.0,76.9%,1.0,0.0%,281.0,81.5%,30.0,60.0%,24.0,62.5%,4.0,75.0%,8.0,62.5%,6.0,66.7%,14.0,57.1%,9.0,66.7%,32.0,68.8%,83.0,63.9%,13.0,46.2%,8.0,75.0%,0.0,0.0%,11.0,54.5%,4.0,75.0%,2.0,50.0%,139.0,59.7%,5.0,60.0%,22.0,68.2%,3.0,66.7%,6.0,50.0%,1.0,0.0%,47.0,78.7%,167.0,53.9%,10.0,50.0%,8.0,62.5%,2.0,50.0%,8.0,50.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,23.0,56.5%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=623918494721&ns=1&abbucket=6
面膜,tmall,【院线面膜】法国美帕壳聚糖修复面膜舒缓泛红冻干粉膜20gX30片,组合套餐:面膜组合套餐,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,3.0,66.7%,4.0,50.0%,1.0,0.0%,0.0,0.0%,3.0,66.7%,5.0,80.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,3.0,66.7%,0.0,0.0%,0.0,0.0%,5.0,80.0%,0.0,0.0%,0.0,0.0%,2.0,50.0%,2.0,50.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=640154929009&ns=1&abbucket=6
面膜,tmall,520礼物珀莱雅解渴面膜补水保湿睡眠泥膜涂抹式清洁毛孔熬夜修护,化妆品净含量:75g/ml,80.0,66.2%,500.0,60.8%,15.0,80.0%,20.0,65.0%,133.0,72.9%,61.0,67.2%,10.0,60.0%,62.0,38.7%,11.0,63.6%,27.0,66.7%,22.0,81.8%,53.0,71.7%,18.0,55.6%,24.0,87.5%,27.0,59.3%,27.0,63.0%,70.0,67.1%,15.0,80.0%,15.0,80.0%,11.0,81.8%,39.0,43.6%,15.0,53.3%,0.0,0.0%,39.0,66.7%,118.0,68.6%,121.0,70.2%,5.0,80.0%,19.0,42.1%,24.0,79.2%,53.0,75.5%,1.0,0.0%,14.0,35.7%,2.0,50.0%,7.0,28.6%,5.0,60.0%,7.0,42.9%,8.0,75.0%,1.0,0.0%,10.0,80.0%,0.0,0.0%,4.0,25.0%,1.0,0.0%,3.0,66.7%,3.0,66.7%,0.0,0.0%,0.0,0.0%,2.0,50.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,2.0,50.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=616567613998&ns=1&abbucket=6
面膜,tmall,御泥坊修护霜八繁九制面膜霜凝脂霜乳免洗补水高保湿滋润涂抹式女,化妆品净含量:100g,215.0,68.4%,78.0,67.9%,3.0,66.7%,29.0,62.1%,218.0,73.4%,40.0,70.0%,45.0,71.1%,90.0,58.9%,10.0,80.0%,195.0,71.8%,15.0,86.7%,93.0,75.3%,45.0,77.8%,24.0,87.5%,5.0,80.0%,124.0,71.0%,132.0,67.4%,20.0,85.0%,47.0,76.6%,8.0,62.5%,153.0,65.4%,46.0,78.3%,0.0,0.0%,137.0,80.3%,131.0,68.7%,134.0,67.9%,1.0,0.0%,132.0,55.3%,20.0,75.0%,46.0,73.9%,2.0,50.0%,113.0,55.8%,1.0,0.0%,6.0,50.0%,32.0,78.1%,8.0,50.0%,11.0,72.7%,0.0,0.0%,75.0,77.3%,6.0,66.7%,2.0,50.0%,4.0,75.0%,1.0,0.0%,39.0,74.4%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,21.0,81.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,5.0,80.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=627874889025&ns=1&abbucket=6
面膜,tmall,30片jm男士面膜专用美白护肤品补水保湿控油增白去黑头祛痘收毛孔,组合套餐:(10片)*1+(10片)*1+(10片)*1,143.0,74.8%,267.0,74.2%,18.0,77.8%,10.0,70.0%,60.0,81.7%,95.0,78.9%,26.0,69.2%,20.0,40.0%,136.0,75.7%,35.0,80.0%,11.0,54.5%,16.0,87.5%,50.0,78.0%,104.0,83.7%,5.0,40.0%,39.0,74.4%,14.0,57.1%,50.0,80.0%,9.0,77.8%,4.0,75.0%,13.0,61.5%,3.0,33.3%,0.0,0.0%,13.0,69.2%,9.0,88.9%,3.0,66.7%,0.0,0.0%,12.0,66.7%,10.0,60.0%,6.0,83.3%,0.0,0.0%,11.0,72.7%,2.0,50.0%,0.0,0.0%,7.0,71.4%,0.0,0.0%,2.0,50.0%,10.0,80.0%,12.0,83.3%,1.0,0.0%,8.0,37.5%,1.0,0.0%,0.0,0.0%,6.0,50.0%,0.0,0.0%,1.0,0.0%,4.0,75.0%,0.0,0.0%,7.0,85.7%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=631705978425&ns=1&abbucket=6
面膜,tmall,梵西烟酰胺蚕丝面膜女补水保湿玻尿酸收缩毛孔紧致淡痘印男女正品,化妆品净含量:20片,278.0,66.9%,473.0,64.9%,62.0,77.4%,11.0,72.7%,140.0,75.0%,72.0,65.3%,86.0,70.9%,79.0,41.8%,23.0,73.9%,50.0,76.0%,10.0,80.0%,25.0,76.0%,11.0,63.6%,35.0,91.4%,48.0,60.4%,10.0,80.0%,9.0,55.6%,43.0,62.8%,13.0,69.2%,6.0,66.7%,8.0,62.5%,0.0,0.0%,1.0,0.0%,4.0,75.0%,3.0,66.7%,1.0,0.0%,2.0,50.0%,16.0,75.0%,16.0,56.2%,2.0,50.0%,2.0,50.0%,14.0,78.6%,1.0,0.0%,0.0,0.0%,2.0,50.0%,0.0,0.0%,2.0,50.0%,2.0,50.0%,5.0,80.0%,2.0,50.0%,7.0,42.9%,1.0,0.0%,2.0,50.0%,6.0,66.7%,16.0,75.0%,2.0,50.0%,5.0,80.0%,0.0,0.0%,0.0,0.0%,3.0,66.7%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=613888045429&ns=1&abbucket=6
面膜,tmall,薇诺娜透明质酸修护生物膜80g 敷料舒敏保湿面膜复合原液贴霜滋养,,115.0,60.9%,8.0,75.0%,2.0,50.0%,15.0,46.7%,15.0,53.3%,2.0,50.0%,15.0,53.3%,198.0,39.9%,62.0,72.6%,28.0,57.1%,15.0,80.0%,102.0,69.6%,15.0,60.0%,7.0,85.7%,1.0,0.0%,8.0,37.5%,10.0,50.0%,37.0,73.0%,5.0,60.0%,5.0,60.0%,20.0,55.0%,86.0,57.0%,0.0,0.0%,17.0,58.8%,8.0,75.0%,1.0,0.0%,1.0,0.0%,9.0,66.7%,12.0,66.7%,3.0,33.3%,2.0,50.0%,5.0,60.0%,1.0,0.0%,7.0,57.1%,7.0,71.4%,0.0,0.0%,9.0,66.7%,1.0,0.0%,3.0,66.7%,1.0,0.0%,2.0,50.0%,0.0,0.0%,0.0,0.0%,5.0,80.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,6.0,16.7%,0.0,0.0%,2.0,50.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=610869471527&ns=1&abbucket=6
面膜,tmall,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,化妆品净含量:50ml,0.0,0.0%,3.0,66.7%,0.0,0.0%,4.0,75.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,2.0,50.0%,1.0,0.0%,3.0,66.7%,0.0,0.0%,1.0,0.0%,0.0,0.0%,2.0,50.0%,8.0,62.5%,0.0,0.0%,0.0,0.0%,1.0,0.0%,2.0,50.0%,1.0,0.0%,0.0,0.0%,6.0,66.7%,1.0,0.0%,1.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,1.0,0.0%,0.0,0.0%,3.0,66.7%,1.0,0.0%,1.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
面膜,tmall,4盒韩国JM面膜女补水保湿美白淡斑祛痘淡化痘印收缩毛孔官方正品,组合套餐:(10片)*2+(10片)*1+(10.0片)*1,409.0,73.6%,600.0,70.0%,42.0,69.0%,15.0,60.0%,234.0,78.6%,247.0,78.9%,104.0,77.9%,53.0,35.8%,226.0,77.4%,91.0,75.8%,10.0,70.0%,18.0,55.6%,132.0,78.8%,164.0,84.8%,9.0,55.6%,64.0,67.2%,27.0,74.1%,42.0,76.2%,27.0,88.9%,8.0,75.0%,28.0,64.3%,8.0,75.0%,3.0,33.3%,33.0,81.8%,4.0,75.0%,5.0,80.0%,0.0,0.0%,9.0,66.7%,32.0,78.1%,12.0,75.0%,0.0,0.0%,8.0,62.5%,1.0,0.0%,3.0,33.3%,15.0,93.3%,9.0,66.7%,8.0,62.5%,6.0,66.7%,5.0,60.0%,0.0,0.0%,9.0,44.4%,0.0,0.0%,3.0,66.7%,3.0,66.7%,0.0,0.0%,0.0,0.0%,2.0,50.0%,1.0,0.0%,9.0,66.7%,0.0,0.0%,0.0,0.0%,0.0,0.0%,5.0,80.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,https://detail.tmall.com/item.htm?id=624251655658&ns=1&abbucket=6
